ACCE_ABSORB_COST	Стоимость сочетания: %d
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	СТРЕЛКА ВНИЗ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	СТРЕЛКА ВЛЕВО
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	СТРЕЛКА ВПРАВО
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	ПРОБЕЛ
KEY_SUBTRACT	-
KEY_SYSRQ	PRNT SCRN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	СТРЕЛКА ВВЕРХ
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Имя лидера
LEFT_TIME	Остав.время
LIMIT_LEVEL_GUILD	Уровень гильдии: %d
LOGIN_CONNECT_FAILURE	Ошибка при соединении с сервером.
LOGIN_CONNECT_SUCCESS	Вы соединены с сервером.
LOGIN_CONNETING	Подождите. Идет соединение с сервером.
LOGIN_FAILURE_ALREAY	Ваш аккаунт уже подключен.
LOGIN_FAILURE_BACKEND_ERR	Произошла ошибка. Свяжитесь со службой поддержки.
LOGIN_FAILURE_BE_SAME_KEY	Проблема с регистрацией
LOGIN_FAILURE_BLOCK_ID	Ваш аккаунт заблокирован.
LOGIN_FAILURE_BLOCK_LOGIN	Закрытый сервер: Выберите другой сервер!
LOGIN_FAILURE_COUNTRY_ERR	Код страны неверный.\nСвяжитесь со службой поддержки.
LOGIN_FAILURE_INTEGRTING	Идет слияние вашего аккаунта. Повторите попытку позже.
LOGIN_FAILURE_IOVATION_ERR	Чтобы зайти на этот сервер, включите двухфакторную аутентификацию.
LOGIN_FAILURE_NOBILL	На вашем аккаунте нет игрового времени.
LOGIN_FAILURE_NOT_AVAIL	Аккаунт недоступен.
LOGIN_FAILURE_NOT_EXIST_ID	Неверное имя или пароль.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Требуется подтверждение по электронной почте.
LOGIN_FAILURE_REPAIR_ID	Предметы для этого аккаунта восстанавливаются.
LOGIN_FAILURE_SAMELOGIN	Кто-то подключился через ваш аккаунт.
LOGIN_FAILURE_SERVER_GRADE	Это закрытый сервер, к которому у этого аккаунта нет доступа.
LOGIN_FAILURE_SHUTDOWN	Сервер пока ещё закрыт.
LOGIN_FAILURE_STEAM_SESSION	Вход в перенесенные аккаунты и регистрация невозможны.
LOGIN_FAILURE_TNT_SESSION	Не удалось открыть клиент. Перезапустите игру и войдите в систему.
LOGIN_FAILURE_TOO_MANY_USER	В соединении отказано. Сервер переполнен.
LOGIN_FAILURE_UNKNOWN	Регистрация  не состоялась по неизвестным причинам.
LOGIN_FAILURE_WEB_BLOCK	Вас заблокировали на сайте. Пожалуйста проверьте  свой Email.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Введён неверный номер.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Неверный номер введён трижды. Связь будет прервана.
LOGIN_FAILURE_WRONG_PASSWORD	Неправильное имя или пароль.
LOGIN_INPUT_ID	Введите номер идентификации.
LOGIN_INPUT_PASSWORD	Введите пароль.
LOGIN_PROCESSING	Происходит регистрация...
LOOTING_SYSTEM_CANNOT_OPEN_MAP	Это нельзя открывать здесь.
LOOTING_TICKET_DURATION	Осталось: %s
LUCKY_BOX_DIALOG_RECV_TEXT	Хотите принять предмет?
LUCKY_BOX_DIALOG_RETRY_TEXT	Хотите еще раз испытать удачу?
MAILBOX_FAIL_USE_TIME_LIMIT	Почтовый ящик обновляется. Повторите попытку позже.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Нет писем
MAILBOX_POST_ALL_DELETE_QUESTION1	Удалить все письма?
MAILBOX_POST_ALL_DELETE_QUESTION2	Письма с приложениями не будут удалены.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	В вашем почтовом ящике нет писем с приложениями.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Принять приложение? (за вычетом 5% налога на янг)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Не удалось удалить письмо. Сначала примите приложение.
MAILBOX_POST_DELETE_QUESTION	Вы точно хотите удалить это письмо?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Не удалось взять предметы. Ваш инвентарь полон.
MAILBOX_POST_GET_ITEMS_QUESTION	Принять приложение? (за вычетом 5% налога на янг)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Вы не можете принять еще вон.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Вы не можете принять еще янг.
MAILBOX_POST_GM_ARRIVE	Письмо от ГМ
MAILBOX_POST_NOT_CONFIRM_INFO_1	Непрочитаннные: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Без приложений: %d / С приложениями: %d
MAILBOX_POST_READ_BLOCK	Вы точно хотите блокировать %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Вы можете отправлять по одному предмету на письмо.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Чтобы отправить что-то как приложение к письму, сначала отложите нужное количество в инвентаре.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Неизвестный получатель. Не удалось отправить письмо.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Почтовый ящик получателя полон. Не удалось отправить письмо.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Вы можете отправлять письма начиная с 20 уровня.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	У вас недостаточно янг, чтобы отправить это письмо.
MAILBOX_POST_WRITE_NAME_CHECK	Подтвердите имя получателя, нажав на «Проверить получателя».
MAILBOX_POST_WRITE_NAME_EMPTY	Укажите имя получателя.
MAILBOX_POST_WRITE_OK	Сообщение успешно отправлено.
MAILBOX_POST_WRITE_QUESTION1	Отправить письмо игроку %s сейчас?
MAILBOX_POST_WRITE_QUESTION2	Плата за отправку: %d янг
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Укажите имя получателя.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Укажите тему.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Сумма
MAILBOX_POST_WRITE_WRONG_ITEM	Нельзя отправлять зачарованные оковами души предметы.
MAILBOX_POST_WRITE_WRONG_MESSAGE	В сообщении есть недопустимые слова.
MAILBOX_POST_WRITE_WRONG_TITLE	В теме есть недопустимые слова.
MALL_CANNOT_INSERT	Вы не можете  внести предмет.
MALL_PASSWORD_TITLE	Пароль
MAP_A1	Земля Йонган
MAP_A2	Долина Сеунгрийонг
MAP_A2_1	
MAP_A3	Земля Яянг
MAP_AG	Юнгранг
MAP_B1	Земля Йоан
MAP_B2	Долина Имджи
MAP_B3	Земля Бокъюнг
MAP_BATTLE_FIELD	Поле боя
MAP_BATTLE_ROYALE	Королевская битва
MAP_BAY	Нефритовый залив
MAP_BAYBLACKSAND	Нефритовый залив
MAP_BG	Варйонг
MAP_BOSS_AWAKEN_DAWNMIST	ПР: Зачарованный лес
MAP_BOSS_AWAKEN_FLAME	ПР: Крепость Красного дракона
MAP_BOSS_AWAKEN_SKIPIA	ПР: Грот изгнанников
MAP_BOSS_AWAKEN_SNOW	ПР: Башня Немера
MAP_BOSS_CRACK_DAWNMIST	ХР: Зачарованный лес
MAP_BOSS_CRACK_FLAME	ХР: Крепость Красного дракона
MAP_BOSS_CRACK_SKIPIA	ХР: Грот изгнанников
MAP_BOSS_CRACK_SNOW	ХР: Башня Немера
MAP_BOSS_LABYRINTH	Плато иллюзий
MAP_C1	Земля Пуингмо
MAP_C2	Долина Бангзан
MAP_C3	Земля Бакра
MAP_CAPE	Мыс пламя дракона
MAP_CAPEDRAGONHEAD	Мыс пламя дракона
MAP_CG	Имха
MAP_CZ_DUNGEON	Храм Зодиака
MAP_DAWN	Утес Гаутама
MAP_DAWNMISTWOOD	Утес Гаутама
MAP_DAWNMIST_DUNGEON_01	Зачарованный лес
MAP_DEFENSE_WAVE	Защита корабля
MAP_DEFENSE_WAVE_PORT	Гавань
MAP_DESERT	Пустыня Йонгби
MAP_DEVILCATACOMB	Катакомбы дьявола
MAP_DEVILTOWER1	Башня демонов
MAP_DUEL	Арена для учебных боев
MAP_E	Колония
MAP_EASTPLAIN_01	Равнина Донган
MAP_EASTPLAIN_02	Пустошь Сёган
MAP_EASTPLAIN_03	Намган-ущелье
MAP_ELEMENTAL_DUNGEON	Мир стихий
MAP_ELEMENTAL_DUNGEON_DARK	Мир стихий (тьма)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Мир стихий (молния)
MAP_ELEMENTAL_DUNGEON_FIRE	Мир стихий (огонь)
MAP_EMPIRECASTLE	Заброшенная твердыня
MAP_EMPIREWAR01	Битва Замков
MAP_EMPIREWAR02	Битва Замков
MAP_EMPIREWAR03	Битва Замков
MAP_FARMING_DUNGEON	Таинственное подземелье
MAP_FLAME	Доюмхван
MAP_GOLDEN_LAND	Золотая земля — Вход
MAP_GOLDEN_LAND_STAGE	Золотая земля
MAP_GUILD_01	Юнгранг
MAP_GUILD_02	Варйонг
MAP_GUILD_03	Имха
MAP_GUILD_PVE	Дворец короля драконов
MAP_HOLYPLACE_DESERT	Битва Империй-Пустынные земли
MAP_HOLYPLACE_FLAME	Битва Империй-Огненные земли
MAP_HOLYPLACE_ICE	Битва Империй-Ледяные земли
MAP_ICE_CRYSTALS_CAVE	Лощина северного ветра
MAP_MAZE_DUNGEON_01	Гнолльи пещеры – 1 уровень
MAP_MAZE_DUNGEON_02	Гнолльи пещеры – 2 уровень
MAP_MAZE_DUNGEON_03	Гнолльи пещеры – 3 уровень
MAP_MILGYO	Храм Хванг
MAP_MILGYO_A	
MAP_MINIBOSS_01	Синее подземелье – ур. 40-80
MAP_MINIBOSS_02	Красное подземелье – с ур. 81
MAP_MISTS_OF_ISLAND	Туманные острова
MAP_MONKEY_DUNGEON	Хасун Донг
MAP_MONKEY_DUNGEON2	Юнгсун Донг
MAP_MONKEY_DUNGEON3	Сангсун Донг
MAP_MONKEY_DUNGEON_11	Хасун Донг
MAP_MONKEY_DUNGEON_12	Хасун Донг
MAP_MONKEY_DUNGEON_13	Хасун Донг
MAP_MT_THUNDER	Горы грома
MAP_MT_TH_DUNGEON_01	Храм Окао
MAP_NUSLUCK	Земля Громил
MAP_NUSLUCK01	Земля Громил
MAP_N_DESERT_01	Пустыня Йонгби
MAP_N_DESERT_02	
MAP_N_FLAME_01	Огненные земли
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Сокровищница Мелеи
MAP_N_FLAME_DUNGEON_01	Крепость красного дракона
MAP_N_SNOWM_01	Гора Сохан
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Башня Немера
MAP_N_THREEWAY	Долина Сеунгрийонг
MAP_OTHER_WORLD_01	Искупление
MAP_OTHER_WORLD_02	Тот свет
MAP_OTHER_WORLD_03	Зал испытаний
MAP_OTHER_WORLD_04	Погибель
MAP_OXEVENT	OX-соревнование
MAP_PATHWAY_DESERT_01	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_02	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_03	Битва Империй-Пустынные земли
MAP_PATHWAY_FLAME_01	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_02	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_03	Битва Империй-Огненные земли
MAP_PATHWAY_ICE_01	Битва Империй-Ледяные земли
MAP_PATHWAY_ICE_02	Страна Развлечений
MAP_PATHWAY_ICE_03	Битва Империй-Ледяные земли
MAP_PRIVATE_SHOP_MAP	Базар
MAP_SECRET_DUNGEON	Храм загадки
MAP_SKELTOWER	Башня Гумсан
MAP_SKIPIA_DUNGEON_01	Грот изгнанников
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Грот изгнанников 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Логово дракона
MAP_SKIPIA_DUNGEON_BOSS_1	Подземелье пауков 1
MAP_SKIPIA_DUNGEON_BOSS_2	Подземелье пауков 2
MAP_SKIPIA_DUNGEON_BOSS_3	Подземелье пауков 3
MAP_SNAKE_TEMPLE_1	1 уровень Храма змеи
MAP_SNAKE_TEMPLE_2	Храм змеи
MAP_SNAKE_VALLEY	Проход Йилад
MAP_SNOW	Гора Сохан
MAP_SPIDER	Куало Донг
MAP_SPIDERDUNGEON	Подземелье пауков 1
MAP_SPIDERDUNGEON_02	Подземелье пауков 2
MAP_SPIDERDUNGEON_02_1	Подземелье пауков 2
MAP_SPIDERDUNGEON_03	Подземелье пауков 3
MAP_SUNGMAHEE_GATE_A1	Земля Йонган (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_B1	Земля Йоан (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_C1	Земля Пуингмо (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_DAWNMIST	Зачарованный лес (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_DESERT	Пустыня Йонгби (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_DEVILS	Катакомбы Дьявола (Вторжение Сунг Ма)
MAP_SUNGMAHEE_GATE_FLAME	Доюмхван (Вторжение Сунг Ма)
